iter	Passed	Remaining
0	67	134384
1	115	115122
2	161	107298
3	203	101674
4	246	98521
5	298	99074
6	350	99832
7	403	100366
8	455	100793
9	518	103220
10	576	104309
11	619	102615
12	666	101903
13	718	101948
14	777	102948
15	834	103516
16	885	103347
17	936	103096
18	988	103069
19	1040	103012
20	1097	103411
21	1149	103341
22	1199	103141
23	1248	102761
24	1302	102899
25	1366	103722
26	1487	108686
27	1555	109578
28	1622	110277
29	1671	109745
30	1725	109590
31	1775	109177
32	1822	108632
33	1866	107901
34	1913	107428
35	1961	107018
36	2010	106660
37	2057	106221
38	2103	105767
39	2147	105228
40	2194	104876
41	2243	104567
42	2290	104224
43	2336	103884
44	2385	103634
45	2441	103716
46	2493	103633
47	2549	103668
48	2598	103473
49	2645	103155
50	2695	102996
51	2744	102794
52	2789	102474
53	2839	102339
54	2891	102241
55	2943	102193
56	2998	102201
57	3044	101950
58	3092	101749
59	3141	101579
60	3191	101446
61	3239	101248
62	3289	101132
63	3336	100918
64	3385	100781
65	3432	100596
66	3485	100549
67	3533	100390
68	3582	100244
69	3630	100106
70	3684	100103
71	3737	100082
72	3792	100111
73	3858	100422
74	3928	100837
75	3982	100821
76	4150	103666
77	4194	103351
78	4240	103112
79	4288	102922
80	4336	102742
81	4385	102583
82	4436	102462
83	4496	102567
84	4555	102634
85	4602	102422
86	4651	102282
87	4703	102197
88	4750	101997
89	4795	101777
90	4843	101601
91	4894	101507
92	4941	101321
93	4985	101092
94	5036	100987
95	5085	100866
96	5133	100719
97	5184	100623
98	5230	100433
99	5324	101156
100	5369	100964
101	5413	100728
102	5462	100607
103	5511	100475
104	5562	100383
105	5610	100248
106	5660	100145
107	5715	100133
108	5768	100083
109	5817	99954
110	5871	99918
111	5918	99766
112	5964	99605
113	6014	99495
114	6078	99628
115	6141	99742
116	6195	99707
117	6259	99828
118	6314	99809
119	6360	99651
120	6406	99491
121	6469	99595
122	6529	99645
123	6591	99724
124	6658	99871
125	6888	102454
126	6959	102633
127	7014	102585
128	7060	102410
129	7106	102228
130	7152	102052
131	7201	101908
132	7254	101830
